source_url,target_url,status_code,preserve_query_string,include_subdomains,subpath_matching,path_matching
https://workofarttattoo.com/healing_database_color_week_1_las_vegas,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
https://www.workofarttattoo.com/healing_database_color_week_1_las_vegas,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
http://workofarttattoo.com/healing_database_color_week_1_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
http://www.workofarttattoo.com/healing_database_color_week_1_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
https://workofarttattoo.com/healing_database_color_week_1_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
https://www.workofarttattoo.com/healing_database_color_week_1_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
http://workofarttattoo.com/healing_database_color_week_2_las_vegas,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
http://www.workofarttattoo.com/healing_database_color_week_2_las_vegas,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
https://workofarttattoo.com/healing_database_color_week_2_las_vegas,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
https://www.workofarttattoo.com/healing_database_color_week_2_las_vegas,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
http://workofarttattoo.com/healing_database_color_week_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
http://www.workofarttattoo.com/healing_database_color_week_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
https://workofarttattoo.com/healing_database_color_week_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
https://www.workofarttattoo.com/healing_database_color_week_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
http://workofarttattoo.com/healing_database_color_week_3_las_vegas,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,301,True,False,False,True
